request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,226.66,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,"Wait: you can safely allocate 226.66 EUR now while preserving the 400 EUR minimum balance; plan to complete 971.30 EUR by 2025-09-15, with an overall deadline of 2025-10-15."
request_39,75099.21,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Recommendation: wait; only 75,099.21 is safe to deploy today, leaving 203,105 after the 213,400 reserve. Plan targets 208,600 by 2026-05-15 to meet the 2026-06-15 deadline."
request_40,428.62,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,"Recommendation: wait until 2024-07-15 to withdraw 1290.30 EUR; current safe amount is 428.62 EUR, preserving the 1500.0 EUR minimum balance, with completion by 2024-08-15."
request_41,11796477.93,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait: current safe amount is IDR 11,796,477.93 and MinKeep is IDR 25,366,600; the plan targets IDR 38,760,000 by 2025-12-15, with deadline 2026-01-15."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay 52,100 in full today (safe amount), leaving 209,665—well above your 113,100 minimum reserve—with completion by 2026-03-15."
request_43,8345081.35,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Safe amount 8,345,081 IDR is far below the 43,339,000 IDR request; with a 21,398,000 IDR minimum reserve and a 2024-11-15 deadline, plan to wait until funds are available (affordable_later)."
request_44,31410.24,affordable_later,wait,2025-03-15:95800,2025-03-15,none,"Wait; with a 162,290 INR balance and 82,900 INR minimum reserve, you can safely allocate 31,410.24 INR now. Plan to fund 95,800 INR on 2025-03-15, ahead of the 2025-04-15 deadline."
request_45,4279761.86,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Balance 19,982,900 IDR; with minKeep 11,149,800 IDR and safe amount 4,279,761.86 IDR, the 21,983,000 IDR target by 2026-09-15 is affordable later; plan to fund by the deadline without changes."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Recommendation: proceed with installments totaling ₹49,450 by 09 Jan 2025; split ₹25,714 on 2024-12-03 and ₹25,714 on 2024-12-31, affordable with ₹202,335 balance and ₹84,000 MinKeep."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Full payment of 38,114,000 IDR is affordable now; after payment you'll have 74,810,150 IDR left (well above the 30,049,000 IDR minimum reserve), with the deadline of 2025-06-19."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Safe to pay 45,700 today (safe amount); from 188,065 balance you’ll have 142,365 left, still above the 71,300 minimum reserve, with deadline 2026-08-24 and plan dated 2026-07-25."
request_49,14032647.52,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,"Approved: three installments of 11,902,106.67 IDR on 2024-03-18, 2024-04-18, and 2024-05-19 (total 35,706,320.01 IDR); safe amount 14,032,647.52 IDR, MinKeep 20,275,700.0 IDR, deadline 2024-05-22."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Full payment of INR 43,900 is affordable now (2025-08-06); post-payment balance INR 203,425.50 remains above minimum reserve INR 99,700, with completion deadline 2025-08-21."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Safe amount 2,191,000 is affordable now and should be paid on 2026-01-03. After payment, balance remains 33,156,700.0 above the 7,811,000.0 minimum reserve, with deadline 2026-02-28."
request_52,20530.06,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15 to allocate 28,870; with a 75,320 balance, safe amount 20,530.06 and min reserve 41,500, this preserves the minimum and meets the 2024-07-09 deadline."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Installments are affordable: three payments of 589.06 (11/21, 12/19, 01/16) fit within the safe amount of 714.42 while preserving a 2,100 minimum balance, with completion by 2026-01-20."
request_54,2501.2,not_affordable,not_recommended,none,,none,"Not affordable: with a 53,581.40 balance and 37,000.00 MinKeep, only 2,501.20 is safely usable. The 121,528.00 request cannot be completed by 2026-08-21 given the deadline."
request_55,129589.62,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Installments approved: three payments of 75,781.33 on 2026-06-11, 2026-07-12, and 2026-08-12 to complete by 2026-08-22; safe amount 129,589.62 with a minimum balance reserve of 124,300.00."
request_56,776.95,affordable_with_plan,partial_payment,2025-02-03:776.95|2025-02-15:104.61,2025-02-15,none,"Partial payment plan: 776.95 on 2025-02-03 and 104.61 on 2025-02-15; keeps balance above MinKeep (2100) after each payment (2655.41, 2550.80) and completes by 2025-03-13."
request_57,15106.7,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Balance 63,914.6 ZAR with a 42,700 ZAR min reserve; safe amount 15,106.7 ZAR, plan to complete 61,446 by 2026-05-15 (deadline 2026-06-15) — recommendation: wait and fund later."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Full payment of 16,226,000 IDR is affordable now from a 42,146,065 IDR balance; this leaves a minimum reserve of 14,433,900 IDR. Deadline 2025-01-25; plan executed 2024-12-07; spending changes: none."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Proceed with three-installment release of 140,600 INR (48,741.33 on 2025-05-07, 2025-06-04, 2025-07-02); balance stays 723,245.99 with 132,600 minimum reserve by the 2025-07-02 deadline."
request_60,148.39,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Wait; only 148.39 is currently safe to spend while preserving a 400.00 minimum balance; plan to withdraw 199.89 on 2026-01-15 to meet the 2026-03-04 deadline.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Safe amount 29,062.00 can be funded from your 147,470.23 balance while preserving a 36,700.00 minimum reserve; complete by 2024-05-24 via installments of 10,074.83 on 2024-03-17, 2024-04-17, and 2024-05-18."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay 404.23 now from a 5,151.44 balance, leaving 4,747.21 and still above the 1,300 minimum; deadline 2025-10-09; no spending changes."
request_63,59494.11,affordable_with_plan,partial_payment,2026-07-07:59494.11|2026-09-15:284405.89,2026-09-15,stop:event_5827,"Safe to pay 59,494.11 now; maintain a 153,500 minimum reserve, and pay 284,405.89 by 2026-09-15 to total 343,900 by the 2026-09-17 deadline."
request_64,0,not_affordable,not_recommended,none,,none,"Not affordable: 63,700 exceeds max withdrawable 62,473.01 (Balance 98,573.01 minus MinKeep 36,100) by 1,226.99; Safe Amount 0.0; Deadline 2024-08-16."
request_65,6600.71,not_affordable,not_recommended,none,,none,"Not recommended: current balance 28,524 ZAR; min reserve 15,500 ZAR; safe withdrawal 6,600.71 ZAR; requested 54,340 ZAR due 2025-11-25 exceeds safe limits."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Full payment of INR 22,200 is affordable now from your balance of INR 302,520, leaving INR 280,320 after deduction and preserving INR 80,700 minimum; deadline 17-Apr-2026; plan: 2026-04-03: 22,200; no spending changes."
request_67,607.45,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Wait. Only 607.45 is safely available above the 1,200 MinKeep. Completion is due by 2024-11-15; plan to fund 2,094 by 2024-09-15 if feasible."
request_68,1630.8,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,"Affirmed: Three installments of 725.09 on 2025-02-14, 2025-03-14, and 2025-04-11 totaling 2,175.27; within your safe amount (1,630.80) and completes before the 2025-04-16 deadline, while preserving a 1,500 MinKeep."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Pay 529.10 now: safe amount is 529.1, preserving the 700 EUR minimum balance; after payment, remaining balance is 1,110.40 EUR, with completion by 14 Jan 2026."
request_70,53284.63,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait; current balance 208,360 INR supports a safe amount of 53,284.63 INR with a minimum reserve of 115,000 INR, and the plan targets 243,900 INR by 2025-02-15."
request_71,1811676.71,not_affordable,not_recommended,none,,none,"Not affordable: safe amount 1,811,676.71 IDR cannot cover a 21,451,000 IDR request by 2025-05-28, given balance 16,369,850 IDR and minimum reserve 8,884,800 IDR."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay 11,330 ZAR now (safe amount) from the 30,337.13 balance, leaving ~19,007.13 and above the 12,200 minimum reserve. Complete by 2026-07-14; plan executes 2026-07-05 with no spending changes."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Full payment of ₹71,400 is affordable now; current balance ₹278,542.50 with ₹103,200 minimum reserve and deadline 13 Feb 2023. Plan: allocate ₹71,400 on 2023-01-20 (safe amount ₹71,400)."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay 5,010 ZAR today (plan: 2025-08-04). This leaves 65,046.9 ZAR, well above the 21,900 ZAR minimum reserve, with the 2025-10-21 deadline still satisfied."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Safe amount: 28,270; execute three installments (Apr 9, 2026: 9,800.27; May 9, 2026: 9,800.27; Jun 8, 2026: 9,800.27) to complete by Jun 12, 2026, keeping a 39,000 reserve."
request_76,999.48,not_affordable,not_recommended,none,,none,"Not affordable: requested 4,455.60 by 2024-07-30 exceeds safe amount 999.48; with 3,338.80 balance and 1,800.00 min keep, funding would breach your reserve."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay 60,700 in full now; post-payment balance is 129,160.5, safely above the 82,200 minimum reserve, with deadline 2025-11-14; affordable today and requires no spending changes."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay 50,200 now (Safe Amount) to meet the 2025-10-14 deadline; after payment the balance becomes 106,476, still above MinKeep 55,200."
request_79,481.95,not_affordable,not_recommended,none,,none,"Not affordable. With a 1,000.00 EUR minimum reserve and only 481.95 EUR safely releasable from 2,104.08 EUR, the 2,151.60 EUR request by 2024-11-01 cannot be funded."
request_80,116114.22,not_affordable,not_recommended,none,,none,"Not recommended: Safe amount is INR 116,114.22 and maintaining a INR 121,300 minimum reserve leaves only INR 158,825 available; the requested INR 217,500 cannot be met by the 21-Feb-2025 deadline without breaching reserves."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Full payment of $2,076 is affordable now from your $5,028.25 balance; after payment you’ll have $2,952.25 with at least $1,600 kept, meeting the 2026-07-14 deadline (paid 2026-07-03)."
request_82,539.3,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"With a $2,202.40 balance and a $1,100.00 minimum reserve, you can safely allocate $539.30 now; the plan funds $1,405.20 by 2025-01-15, ahead of the 2025-02-15 deadline."
request_83,9740.32,not_affordable,not_recommended,none,,none,"Not recommended: requested 156,200 INR is far above what can be safely withdrawn; only 9,740.32 INR is safe, while the minimum balance reserve is 37,800 INR; deadline 2025-06-17 renders it unaffordable."
request_84,25290.91,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Wait: funding 95,400 now would drop usable funds below the 91,300 INR MinKeep. Plan completes by 2026-05-15 using Safe Amount 25,290.91 INR; deadline remains 2026-06-15."
request_85,580022.91,not_affordable,not_recommended,none,,none,"Not recommended: Safe amount IDR 580,022.91 versus minimum reserve IDR 6,396,300; deadline 2024-04-26; the requested IDR 19,304,000 is not affordable."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Full payment of ₹46,300 is affordable now from your ₹228,639.50 balance. Maintain ₹84,900 minimum reserve; plan executed on 2025-08-03 with deadline 2025-08-22."
request_87,32455.17,not_affordable,not_recommended,none,,none,"Not affordable: requested 487,900 exceeds your safe amount 32,455.17 INR and minimum keep 185,900 INR; deadline 15-Mar-2026 makes completion infeasible with your current balance 278,750 INR."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Installments totaling 27,135.69 are affordable; maintain a 25,800 reserve from a 41,357.89 balance, with last payment 2024-08-15 ahead of the 2024-08-25 deadline; safe amount 11,959.79."
request_89,10902159.31,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Installments of 4,768,746.67 on 2025-11-18, 2025-12-16, and 2026-01-13 fund 13,756,000 before the 2026-01-15 deadline; remaining balance about 13,025,622.00, above MinKeep 12,534,700.00, Safe Amount 10,902,159.31."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Full payment of 2,560 ZAR is affordable now. With balance 31,629.50 and MinKeep 7,600.0, you’ll have ≈29,069.50 after payment; deadline 2026-09-23; plan: 2026-07-06:2560; no spending changes."
request_91,616.35,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,"Recommendation: wait; affordable later. With EUR4,209.60 balance and EUR2,100.00 MinKeep, plan to pay EUR1,927.20 by 2024-10-15; safe amount EUR616.35 remains, deadline 2024-11-15."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Full payment of 34,034 ZAR on 2025-02-05 is affordable now; safe amount is 34,034 ZAR, leaving 44,630.47 ZAR (above 28,100 ZAR min reserve) with a completion deadline of 2025-02-14."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Full payment of 1,729.20 is affordable now; post-payment balance is 2,232.90, above the 1,900 minimum reserve, with deadline 2026-04-14."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Full payment of 572.0 EUR today is affordable (safe amount 572.0); after payment, balance = 2091.6 EUR, still above min keep 600.0 EUR, deadline 2024-12-22."
request_95,59947.56,not_affordable,not_recommended,none,,none,"Not recommended: the 553,000 INR request isn’t affordable by 14-Jul-2025; balance 283,365 INR with a 145,500 INR minimum reserve leaves only 137,865; safe amount is 59,947.56 INR."
request_96,81429.62,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Installments of 31,269.33 on 2026-01-10, 2026-02-09, 2026-03-11; safe amount 81,429.62 supports it, preserves 56,500 reserve, completing by 2026-03-12."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Recommendation: installments. With a safe amount of 2,929.44 and a 29,700 minimum balance, three payments of 8,145.28 occur on 2024-03-19, 2024-04-19, and 2024-05-20, completing before 2024-05-24."
request_98,8134.6,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Your balance is 47,244.70 ZAR with a 30,000 ZAR minimum reserve; a 27,148 ZAR withdrawal would drop to 20,096.70 and exceed the safe withdrawal (8,134.60), so defer to 2025-09-15 and complete by 2025-10-15."
request_99,17745.15,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Full payment of 18,062 on 2026-07-04 is affordable; safe amount 17,745.15, minimum reserve 49,100, deadline 2026-07-14, plan: stop:event_9188."
request_100,26656.9,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Recommendation: proceed with three installments of 12,866.19 on 2024-06-13, 2024-07-14, 2024-08-14, with safe amount 26,656.90 and minimum balance reserve of 32,500, aiming completion by 2024-08-16."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Full payment of 143,500 INR is affordable now; after the payment, your balance would be 322,368.5 INR, still above the 187,400 INR minimum reserve, with a deadline of 2025-11-14."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Installments recommended: safe amount 1716.0 EUR will be allocated from your 4643.74 EUR balance, with 900.0 EUR minimum kept. Complete by 2026-06-12 with payments of 594.88 EUR on 2026-04-05, 2026-05-05, and 2026-06-04."
request_103,12125.95,not_affordable,not_recommended,none,,none,"Not recommended: your available safe amount is 12,125.95 INR, while the minimum balance reserve is 125,500 INR. With a deadline of 2024-10-07 and a requested 368,300 INR, this is not affordable."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Full payment of 17,204 is affordable now; remaining balance will be 46,818 ZAR, well above the 24,700 MinKeep, with completion by 2025-04-15 and plan executed on 2025-02-04."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Safe amount 53,500 INR is affordable now; post-payment balance will be 94,331.80 INR, above the 73,900 INR minimum reserve. Deadline to complete: 14-Jun-2026; plan executed on 08-Jun-2026."
request_106,439.28,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait: you can safely withdraw 439.28 now while preserving the 1,200 MinKeep; by 2025-02-15 you’ll reach 2,207.70 with no spending changes."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Recommendation: installments; funded from safe amount 2534.4, maintaining minimum balance reserve 1600, with completion by 2025-07-04; plan: 2025-05-08: 878.59; 2025-06-05: 878.59; 2025-07-03: 878.59."
request_108,4736.92,not_affordable,not_recommended,none,,none,"Not affordable: with 31,936.40 ZAR balance and a 24,100.00 ZAR minimum reserve, only 4,736.92 ZAR is safely deployable; a 55,308.00 ZAR request cannot be completed by 2026-07-26."
request_109,724.32,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Installment plan approved: three payments of 645.98 EUR on 2024-03-18, 2024-04-18, 2024-05-19, ahead of the 2024-05-26 deadline, while preserving a 1,700 EUR minimum reserve and leaving 724.32 EUR safe."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Affordably funded: safe amount 22,352.0 ZAR with an 11,200.0 ZAR reserve; plan completes by 2025-10-01 (before the 2025-10-11 deadline) via three installments of 7,748.69 on 2025-08-06, 2025-09-03, and 2025-10-01."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Full payment of 16,625,000 IDR is affordable now; pay on 2026-04-03 from your 85,204,860 IDR balance, leaving 68,579,860 IDR, still above the 23,022,800 IDR minimum reserve, with deadline 2026-05-02."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,"Full payment of 271.70 EUR is affordable now. With a 1,026.00 EUR balance and a 500.00 EUR minimum reserve, completing by 2024-06-14 leaves 754.30 EUR available."
request_113,33011.22,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait; the safe amount is 33,011.22 against a 82,300 MinKeep, with a 36,500 request due by 2026-10-19. Salary arrives 2026-09-15, plan to fund then."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Approve full payment of 65,300 today (2026-01-04) from your 219,230 balance; remaining 153,930 stays above MinKeep 113,400; deadline 2026-01-14; no spending changes needed."
request_115,14858.57,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Current balance INR 65,935 with a minimum reserve INR 38,800; safe amount INR 14,858.57. Plan to reach INR 80,500 by 2024-11-15 (affordable later) with no spending changes."
request_116,12914.76,not_affordable,not_recommended,none,,none,"Not recommended: the requested 241,200 INR exceeds the safe amount (12,914.76 INR) and cannot be funded by the 2025-04-16 deadline without breaching the 80,300 INR minimum reserve (balance 138,375 INR)."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay 880 EUR on 2026-07-05; this leaves 1284.2 EUR, safely above the 1000 EUR MinKeep, with a completion deadline of 2026-07-14."
request_118,673.41,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Affordable plan: three installments of 255.87 EUR (total 767.61 EUR) on 2024-12-07, 2025-01-07, 2025-02-07; safe amount 673.41 EUR keeps balance above MinKeep 600 EUR, deadline 2025-02-08."
request_119,66432.27,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Proceed with installments of 70,546.67 on 2025-05-18, 2025-06-15, and 2025-07-13; total 211,640.01, safely funded with a 66,432.27 safety buffer, while preserving 151,200 minimum balance and meeting the 2025-07-17 deadline."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay 7,714,000 IDR today from 31,748,980 IDR, leaving 24,034,980 IDR, which is above the 20,050,300 IDR reserve; deadline 2026-04-14, with no spending changes."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Full payment of 633.60 is affordable now; it uses the safe amount (633.60) and leaves 1,107.40, above the 800.00 MinKeep, to meet the 2024-03-14 deadline."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Installments are recommended; safe amount is 20,558,000 IDR with a 12,588,500 IDR minimum balance reserve, completing by 2025-09-30 via three payments of 7,126,773.33 IDR on 2025-08-05, 2025-09-02, and 2025-09-30."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Full payment of 4,076,000 IDR is affordable now, given a balance of 63,706,400 IDR and minimum reserve 18,091,200 IDR, with deadline 2026-03-28."
request_124,1328.06,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Installments planned: 1076.12 EUR on 2024-06-11, 2024-07-12, and 2024-08-12; safe amount 1328.06 EUR now, maintain 1600 EUR minimum balance, and complete by 2024-08-20."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Full payment of 6,468 ZAR is affordable now (Safe amount). Plan: 2025-11-06 pay 6,468; remaining 15,559.97 ZAR above 11,300 ZAR MinKeep, deadline 2025-11-14."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Recommendation: full_payment because Safe Amount 159,600 is affordable now; after payout, remaining balance 243,575 exceeds MinKeep 129,700, with deadline 2026-07-17 met by allocating 159,600 today (Plan: 2026-07-03:159,600)."
request_127,15614.56,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Wait until 2024-09-15 to fund 23,980; with 66,058 on hand, that leaves 42,078, above your 41,000 MinKeep. Safe amount today is 15,614.56; deadline 2024-10-18."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Full payment of 25168.0 on 2025-02-07 is affordable now (safe amount 25168.0); post-payment balance 55543.7 remains above the 42600 minimum reserve, with deadline 2025-02-14 and current balance 80711.7."
request_129,134.51,not_affordable,not_recommended,none,,none,"Not recommended: with a 1088 balance and 800 min reserve, only 288 is excess; safe withdrawal is 134.51, so funding 2668.8 by 2026-06-18 is not affordable."
request_130,659.64,affordable_later,wait,2024-12-15:1978.80,2024-12-15,none,"Wait: funding 1,978.80 now would leave 338.66, below the 1,400 minimum; only 659.64 is safe now. Plan to fund on 2024-12-15 with deadline 2025-02-15."
request_131,1444.61,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,"Installments of 643.14 on 2025-05-06, 2025-06-03, and 2025-07-01; each under the 1444.61 safe amount, keep a 1100.00 minimum reserve, with completion by 2025-07-08."
request_132,371.98,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-15,reduce_to:event_12142:26,"With a $1,744.55 balance and a $1,100.00 minimum reserve, the $379.86 request exceeds the $371.98 safe amount but is affordable under the plan starting 2026-01-05 and due by 2026-02-25."
request_133,1030271.24,not_affordable,not_recommended,none,,none,"Not recommended: current balance 36,824,650 IDR cannot cover the 15,770,000 IDR request by 2024-03-29 given a safe amount of 1,030,271 IDR and a 9,986,200 IDR minimum reserve."
request_134,7436878.12,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Wait for now; your safe amount is IDR 7,436,878.12 and you should retain IDR 15,902,500 as reserve. The plan aims to complete IDR 21,831,000 by 2025-09-15, ahead of the 2025-10-15 deadline."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,"Full payment of 304.80 is affordable now (safe amount 304.80); after payment, balance 736.30, above the 500 minimum balance reserve. Deadline: 2026-07-14."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Recommendation: full payment of 560.40 now; balance 2,291.68 with 1,100.00 minimum reserve; deadline 2024-06-14; this safe amount 560.40 is affordable today per the 2024-06-03 plan."
